	index	sample	model_class	model_species	model	accuracy	auROC	auPRC	f1_score	fhalf_score	model_type
17	0	Pfenning_D1pos_Cpu_fold3	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Cpu_fold3/Pfenning_D1pos_Cpu_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8207252239685049	0.9281458845046433	0.638624325776507	0.9291734784368066	0.9343680133008936	Pfenning_D1pos_Cpu
18	0	Pfenning_D1pos_Cpu_fold4	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Cpu_fold4/Pfenning_D1pos_Cpu_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8127413119036357	0.9211658189622545	0.630979372950535	0.9223964490659264	0.9282044214452528	Pfenning_D1pos_Cpu
19	0	Pfenning_D1pos_Cpu_fold5	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Cpu_fold5/Pfenning_D1pos_Cpu_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7906785022878848	0.9162685206586237	0.6768522494877738	0.9166696181151098	0.9169168438509518	Pfenning_D1pos_Cpu
20	0	Pfenning_D1pos_Nac_fold1	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Nac_fold1/Pfenning_D1pos_Nac_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8229000644016901	0.9163210988870968	0.6884310771321108	0.9001988235185124	0.9073574198496307	Pfenning_D1pos_Nac
21	0	Pfenning_D1pos_Nac_fold2	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Nac_fold2/Pfenning_D1pos_Nac_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7856652686920348	0.9209316434893439	0.6476748089406731	0.9314571948672286	0.9316307611642349	Pfenning_D1pos_Nac
22	0	Pfenning_D1pos_Nac_fold3	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Nac_fold3/Pfenning_D1pos_Nac_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.845360916761468	0.9256009060950836	0.6256205551131692	0.8968110832395413	0.9196931711802696	Pfenning_D1pos_Nac
23	0	Pfenning_D1pos_Nac_fold4	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Nac_fold4/Pfenning_D1pos_Nac_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8116041793210258	0.9183058955384729	0.6577705582679327	0.9231943274097298	0.9267391394191377	Pfenning_D1pos_Nac
24	0	Pfenning_D1pos_Nac_fold5	CNN	Mouse	cnn/singleTask/Pfenning_D1pos_Nac_fold5/Pfenning_D1pos_Nac_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8284253113905199	0.915851908686928	0.6770636012190621	0.8939020295207842	0.9058740688371149	Pfenning_D1pos_Nac
25	0	Pfenning_D2pos_Cpu_fold1	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Cpu_fold1/Pfenning_D2pos_Cpu_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8491152545600302	0.9282684878883828	0.7247847421218523	0.8681006507958007	0.8934347936064468	Pfenning_D2pos_Cpu
26	0	Pfenning_D2pos_Cpu_fold2	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Cpu_fold2/Pfenning_D2pos_Cpu_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8235526158448738	0.9256689289173377	0.6603224140892681	0.9227137075717957	0.9279651938352835	Pfenning_D2pos_Cpu
27	0	Pfenning_D2pos_Cpu_fold3	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Cpu_fold3/Pfenning_D2pos_Cpu_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8451964436356311	0.9309364812337827	0.6606469700527845	0.9102350581339093	0.9243325228728371	Pfenning_D2pos_Cpu
28	0	Pfenning_D2pos_Cpu_fold4	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Cpu_fold4/Pfenning_D2pos_Cpu_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8263556422476885	0.921138719908459	0.6393347545102714	0.9153419620558829	0.9244990234373598	Pfenning_D2pos_Cpu
29	0	Pfenning_D2pos_Cpu_fold5	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Cpu_fold5/Pfenning_D2pos_Cpu_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8167852790360899	0.9202448738259756	0.6860899099659048	0.9150003892596185	0.9183287090336163	Pfenning_D2pos_Cpu
30	0	Pfenning_D2pos_Nac_fold1	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Nac_fold1/Pfenning_D2pos_Nac_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8559265379233472	0.931607663639249	0.7223780774731585	0.8792577576148709	0.9006976714903169	Pfenning_D2pos_Nac
31	0	Pfenning_D2pos_Nac_fold2	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Nac_fold2/Pfenning_D2pos_Nac_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8542320003507375	0.9332652114720738	0.6769096407072597	0.9020948728578634	0.9192927105893987	Pfenning_D2pos_Nac
32	0	Pfenning_D2pos_Nac_fold3	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Nac_fold3/Pfenning_D2pos_Nac_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8429792448329982	0.9353942043349196	0.681610047805562	0.9298755107472201	0.9360780985398308	Pfenning_D2pos_Nac
33	0	Pfenning_D2pos_Nac_fold4	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Nac_fold4/Pfenning_D2pos_Nac_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8315895861829321	0.9292580531900044	0.6657990088854775	0.9248306683692479	0.9306900801787633	Pfenning_D2pos_Nac
34	0	Pfenning_D2pos_Nac_fold5	CNN	Mouse	cnn/singleTask/Pfenning_D2pos_Nac_fold5/Pfenning_D2pos_Nac_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8381117270057963	0.9260190246218569	0.6976892729135256	0.9039927908479647	0.9134367441957201	Pfenning_D2pos_Nac
35	0	Pfenning_PVpos_Cpu_fold1	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Cpu_fold1/Pfenning_PVpos_Cpu_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7884001146990098	0.9005253056171707	0.6488972765392522	0.8940509243691361	0.8983553840170115	Pfenning_PVpos_Cpu
36	0	Pfenning_PVpos_Cpu_fold2	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Cpu_fold2/Pfenning_PVpos_Cpu_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.8070043245048322	0.9047097912965669	0.6114037288996699	0.9026849085696952	0.9138809289612205	Pfenning_PVpos_Cpu
37	0	Pfenning_PVpos_Cpu_fold3	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Cpu_fold3/Pfenning_PVpos_Cpu_fold3_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7761445697768401	0.9100842685810595	0.575311803921935	0.9319881889528756	0.9347138417675649	Pfenning_PVpos_Cpu
38	0	Pfenning_PVpos_Cpu_fold4	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Cpu_fold4/Pfenning_PVpos_Cpu_fold4_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7887938140534692	0.9011730189608138	0.6089465318111646	0.9162299147111869	0.92046677534148	Pfenning_PVpos_Cpu
39	0	Pfenning_PVpos_Cpu_fold5	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Cpu_fold5/Pfenning_PVpos_Cpu_fold5_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.828265236195276	0.9210242332003338	0.68860193141828	0.9020981603565882	0.9112317436760783	Pfenning_PVpos_Cpu
40	0	Pfenning_PVpos_Ctx_fold1	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Ctx_fold1/Pfenning_PVpos_Ctx_fold1_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7635387566162856	0.8922640699352982	0.6297305973500429	0.8986373275819666	0.8989239448605174	Pfenning_PVpos_Ctx
41	0	Pfenning_PVpos_Ctx_fold2	CNN	Mouse	cnn/singleTask/Pfenning_PVpos_Ctx_fold2/Pfenning_PVpos_Ctx_fold2_OCP_NB2000_NE23_BR0.01_MR0.1_BM0.85_MM0.99.h5	0.7985899464690182	0.8989872526015859	0.57693596455442	0.9005458167893433	0.9117240753716197	Pfenning_PVpos_Ctx
