celltypes	fold	numTestPos	numTestNeg	numTrainPos	numTrainNeg	numValidPos	numValidNeg	posToNegRate
Mo2015_EXCpos_Ctx	fold1	12130	100551	49501	465813	7845	61511	0.11814714310196
Mo2015_EXCpos_Ctx	fold2	12130	100551	49218	442484	8128	84840	0.109223435387222
Mo2015_EXCpos_Ctx	fold3	12130	100551	49991	437259	7355	90065	0.105542221344131
Mo2015_EXCpos_Ctx	fold4	12130	100551	54866	497436	2480	29888	0.104636450340036
Mo2015_EXCpos_Ctx	fold5	12130	100551	49382	468886	7964	58438	0.120744732295652
Mo2015_PVpos_Ctx	fold1	9724	76634	35663	352834	6340	46550	0.121387448425854
Mo2015_PVpos_Ctx	fold2	9724	76634	35626	334223	6377	65161	0.110449212584601
Mo2015_PVpos_Ctx	fold3	9724	76634	37243	331842	4760	67542	0.103198212648704
Mo2015_PVpos_Ctx	fold4	9724	76634	39862	376216	2141	23168	0.108418628478352
Mo2015_PVpos_Ctx	fold5	9724	76634	36396	353995	5607	45389	0.117745331046538
Mo2015_VIPpos_Ctx	fold1	10804	85104	40936	390917	5802	52131	0.114321659103405
Mo2015_VIPpos_Ctx	fold2	10804	85104	39456	371620	7282	71428	0.111690780865735
Mo2015_VIPpos_Ctx	fold3	10804	85104	40940	367713	5798	75335	0.105083428097498
Mo2015_VIPpos_Ctx	fold4	10804	85104	44232	417887	2506	25161	0.110798645210522
Mo2015_VIPpos_Ctx	fold5	10804	85104	40339	393005	6399	50043	0.119154348802599
Pfenning_D1pos_Cpu	fold1	8948	72465	34913	335149	5686	43899	0.11905882293002
Pfenning_D1pos_Cpu	fold2	8948	72465	34860	317934	5739	61114	0.109010722937449
Pfenning_D1pos_Cpu	fold3	8948	72465	35329	314530	5270	64518	0.105828693621271
Pfenning_D1pos_Cpu	fold4	8948	72465	38697	357238	1902	21810	0.106336915514927
Pfenning_D1pos_Cpu	fold5	8948	72465	35346	336467	5253	42581	0.117298534292457
Pfenning_D1pos_Nac	fold1	7628	62499	29744	287541	4889	37820	0.118254273225538
Pfenning_D1pos_Nac	fold2	7628	62499	29617	272178	5016	53183	0.108393541774308
Pfenning_D1pos_Nac	fold3	7628	62499	30335	270126	4298	55235	0.104054126381005
Pfenning_D1pos_Nac	fold4	7628	62499	32847	307078	1786	18283	0.108900878784991
Pfenning_D1pos_Nac	fold5	7628	62499	30214	288539	4419	36822	0.11559115903271
Pfenning_D2pos_Cpu	fold1	9269	76786	37368	354170	5971	46465	0.118242029868101
Pfenning_D2pos_Cpu	fold2	9269	76786	37214	335884	6125	64751	0.108699815145151
Pfenning_D2pos_Cpu	fold3	9269	76786	37477	332697	5862	67938	0.106547567944857
Pfenning_D2pos_Cpu	fold4	9269	76786	41268	377626	2071	23009	0.10666769869653
Pfenning_D2pos_Cpu	fold5	9269	76786	37984	355462	5355	45173	0.115371496395432
Pfenning_D2pos_Nac	fold1	7376	62011	29657	285445	4754	37807	0.116195990559688
Pfenning_D2pos_Nac	fold2	7376	62011	29495	270535	4916	52717	0.107074666581133
Pfenning_D2pos_Nac	fold3	7376	62011	29771	268458	4640	54794	0.104841249014875
Pfenning_D2pos_Nac	fold4	7376	62011	32764	305169	1647	18083	0.105796706436605
Pfenning_D2pos_Nac	fold5	7376	62011	30092	286716	4319	36536	0.114037614653399
Pfenning_PVpos_Cpu	fold1	7415	58991	27621	271871	4760	35460	0.120509625449003
Pfenning_PVpos_Cpu	fold2	7415	58991	27572	256814	4809	50517	0.109418188378641
Pfenning_PVpos_Cpu	fold3	7415	58991	28563	255171	3818	52160	0.103610564757793
Pfenning_PVpos_Cpu	fold4	7415	58991	30693	289565	1688	17766	0.108902337580876
Pfenning_PVpos_Cpu	fold5	7415	58991	28264	272262	4117	35069	0.115635347052276
Pfenning_PVpos_Ctx	fold1	12986	96601	46047	449271	8028	58871	0.124429302579838
Pfenning_PVpos_Ctx	fold2	12986	96601	46238	425872	7837	82270	0.112753763471591
Pfenning_PVpos_Ctx	fold3	12986	96601	47512	421779	6563	86363	0.107689704052095
Pfenning_PVpos_Ctx	fold4	12986	96601	50981	479085	3094	29057	0.115774294449476
Pfenning_PVpos_Ctx	fold5	12986	96601	46809	450952	7266	57190	0.12175994609699
Pfenning_SSTpos_Cpu	fold1	8731	70881	33850	327337	5678	43204	0.119337182683393
Pfenning_SSTpos_Cpu	fold2	8731	70881	33630	310048	5898	60493	0.109714748321601
Pfenning_SSTpos_Cpu	fold3	8731	70881	34816	307488	4712	63053	0.103712083206888
Pfenning_SSTpos_Cpu	fold4	8731	70881	37715	349613	1813	20928	0.105895019924082
Pfenning_SSTpos_Cpu	fold5	8731	70881	34376	328747	5152	41794	0.117005433792949
Pfenning_SSTpos_Ctx	fold1	8250	63894	30124	295778	5300	38659	0.122687636270053
Pfenning_SSTpos_Ctx	fold2	8250	63894	30124	279524	5300	54913	0.111135111413413
Pfenning_SSTpos_Ctx	fold3	8250	63894	31198	277875	4226	56562	0.105369360687274
Pfenning_SSTpos_Ctx	fold4	8250	63894	33674	314996	1750	19441	0.108679665218433
Pfenning_SSTpos_Ctx	fold5	8250	63894	30902	296359	4522	38078	0.117382841923572
