# TOTAL_GENES = 17187
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17187    -0.038471    -0.075456     0.015177      0.99437
Adrenal_Gland       COVAR   17187     0.025334     0.048845     0.011658     0.014893
Bladder             COVAR   17187    -0.034317    -0.066827     0.018259       0.9699
Blood               COVAR   17187   -0.0065757    -0.011781    0.0070622       0.8241
Blood_Vessel        COVAR   17187   -0.0029027   -0.0058855     0.013343      0.58611
Brain               COVAR   17187     0.042736     0.074132    0.0078016   2.1831e-08
Breast              COVAR   17187    -0.052937      -0.1017     0.018049      0.99832
Cervix_Uteri        COVAR   17187    -0.004799     -0.00942     0.016218      0.61635
Colon               COVAR   17187      0.01467      0.02743     0.017837      0.20542
Esophagus           COVAR   17187    -0.010041    -0.018898     0.019321      0.69836
Fallopian_Tube      COVAR   17187     -0.02944    -0.057058     0.015911      0.96786
Heart               COVAR   17187     0.014609     0.025115     0.010811     0.088319
Kidney              COVAR   17187    -0.020184    -0.035461     0.010738      0.96992
Liver               COVAR   17187    0.0040967    0.0073696    0.0073614      0.28894
Lung                COVAR   17187    -0.047691    -0.092128     0.012032      0.99996
Muscle              COVAR   17187     0.019528     0.036926    0.0077339    0.0057896
Nerve               COVAR   17187     0.021301     0.042835     0.011875     0.036436
Ovary               COVAR   17187    0.0084827     0.017185     0.011646      0.23319
Pancreas            COVAR   17187    0.0097112     0.016224    0.0098581       0.1623
Pituitary           COVAR   17187     0.038616     0.071891    0.0093793   1.9269e-05
Prostate            COVAR   17187    -0.026109    -0.049479     0.015629      0.95258
Salivary_Gland      COVAR   17187    -0.022843    -0.042477      0.01221       0.9693
Skin                COVAR   17187   -0.0046782   -0.0089147     0.011469      0.65832
Small_Intestine     COVAR   17187    -0.024949    -0.045821      0.01213      0.98014
Spleen              COVAR   17187    -0.027445    -0.054336    0.0089476      0.99892
Stomach             COVAR   17187    -0.021391    -0.038818     0.015391       0.9177
Testis              COVAR   17187    0.0070584     0.012174    0.0063354      0.13262
Thyroid             COVAR   17187    -0.010076     -0.01994     0.012223      0.79512
Uterus              COVAR   17187    -0.009383    -0.019104     0.013675      0.75369
Vagina              COVAR   17187    -0.026103    -0.049885     0.014362      0.96542
