# TOTAL_GENES = 17187
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17187    -0.023177    -0.046211     0.011249      0.98031 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17187    -0.019429    -0.037698     0.011665      0.95208 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17187     0.014165      0.02731     0.010481     0.088271 Adrenal_Gland
Artery_Aorta                        COVAR   17187    -0.028468    -0.058058      0.01067      0.99618 Artery_Aorta
Artery_Coronary                     COVAR   17187    -0.031663    -0.062973     0.012404      0.99465 Artery_Coronary
Artery_Tibial                       COVAR   17187    -0.022713    -0.046733     0.010479      0.98489 Artery_Tibial
Bladder                             COVAR   17187    -0.042707    -0.083164     0.013645      0.99912 Bladder
Brain_Amygdala                      COVAR   17187     0.009716     0.016532    0.0082443      0.11931 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17187     0.015377     0.027135    0.0075936     0.021444 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17187     0.011381     0.019635    0.0082588     0.084096 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17187     0.031695     0.063559    0.0063776   3.3872e-07 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17187     0.032563     0.064592    0.0065732   3.6725e-07 Brain_Cerebellum
Brain_Cortex                        COVAR   17187     0.019237     0.035047    0.0074981    0.0051544 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17187     0.018177     0.033462    0.0072426    0.0060461 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17187      0.01166     0.019719     0.008375     0.081936 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17187     0.015041      0.02585    0.0085272     0.038887 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17187     0.012815     0.022209    0.0079783     0.054121 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17187     0.008572     0.014569    0.0083268      0.15164 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17187    0.0082171     0.014748    0.0090511      0.18199 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17187    0.0036273    0.0062352     0.009022      0.34383 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17187    -0.046556    -0.089439     0.013275      0.99977 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17187   -0.0014363    -0.003076    0.0068311      0.58327 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17187    0.0030652    0.0066809    0.0051682      0.27657 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17187    -0.021615    -0.042334     0.012734      0.95519 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17187    -0.022207    -0.043926     0.012151      0.96619 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17187     -0.01006    -0.019664     0.013062      0.77939 Colon_Sigmoid
Colon_Transverse                    COVAR   17187     -0.01738    -0.031919     0.011987      0.92645 Colon_Transverse
